553.02,1277.1,0.677
1577,1208,1.061
367.98,1141,0.785
824.99,785,3.979
1344.9,869.03,3.721
1258,970.02,1.566
951.01,1058.1,1.259
1105,1101,1.235
1896,729.99,2.303
481,226.96,3.65
280.09,1087,1.627
876.99,1315,0.748
530.01,1139,0.82
1670,928,3.035
749.01,1080,1.139
1258,950.04,1.566
1530,1193,1.09
1866,568.03,2.9
413.98,1139,0.795
1735,304.96,3.18
907.97,1320,0.747
1570,1434,1.021
1130,901.01,1.238
906.99,593.02,4.02
1575,1355.1,1.021
1235,755.01,4.168
515.01,226.04,3.684
1545,1134,1.131
830.93,1202,0.894
255.96,1223,1.119
459.95,817.06,3.154
898.03,494.02,4.039
913.04,1355,0.703
788,977,1.308
1570.1,1187.1,1.073
1080,526.02,4.223
1060,519.02,4.199
1918,721.98,2.281
1134,1385,0.794
444,144.03,3.639
1073,1357,0.758
1912,886,2.27
713.98,1355,0.674
493.98,315.03,3.643
932.03,1043.1,1.271
1265,706.05,4.172
1884,1051,2.33
781.06,501.04,3.916
1010,1363,0.72
928.02,55.01,4.066
480.98,375.04,3.611
1015,433.03,4.164
628.01,861.02,3.264
274.98,1110,1.5
375,419.02,3.523
1642,1157,1.136
444.01,520.04,3.559
719.99,640.03,3.775
1291,773.01,4.082
988.02,391.01,4.145
1312,863.04,3.234
767.01,1124,1.077
1011,211.03,4.164
1513.1,1101,1.188
398.98,518.04,3.553
421.99,396.02,3.561
965.98,426.03,4.121
1528.1,1070,1.254
765.02,1170,0.911
1019,282.1,4.18
816.03,1244,0.817
1311,707.03,4.195
389.01,1374,0.665
586.99,1045,1.175
1086,1028,1.217
232.03,1210,1.493
1431,1066,1.258
1889,570.02,2.879
608.01,932.03,2.973
811.99,855.01,1.54
307.06,1120,0.898
1387,653.01,4.145
1027,485.05,4.176
482.01,343.05,3.619
908.02,1057,1.275
1589,1388,1.006
800.01,1275,0.772
1232,1010,1.491
614.03,1086,1.012
1457,830,3.996
1476,865.05,3.684
1090,459.03,4.242
351.02,470.02,2.531
1825,621.03,2.932
764.99,365.02,3.914
1019,1320.1,0.781
743.06,1120,1.021
188.04,1199,1.188
794.99,939.02,1.381
302.02,757.02,1.605
920,110.03,4.066
1379,689.03,4.117
1236,849.99,3.006
1470,898.02,3.615
854.94,1215,0.879
820.07,1267,0.787
387,568.01,1.797
1486,1063,1.265
1672,1180.1,1.113
1582,1325,1.016
742.99,1213,0.827
576.01,989.05,2.615
930.99,451.02,4.078
1882,621.03,2.342
691.99,728,3.344
809.98,374.01,3.963
773.98,1240,0.811
1880,1115,2.348
1634,1224,1.045
654,1111,0.962
154.98,1078,1.513
1270,864.01,2.959
196.01,982.03,1.522
943.97,1298,0.788
1853,623.03,2.863
928,505.04,4.07
961.02,128.01,4.102
61.987,899.03,1.5
449.98,480.03,3.564
905.99,410.01,4.062
1787,751.02,2.949
1273,725.03,4.18
921.98,1303,0.771
849.01,1244,0.83
688.01,855.04,3.293
669.01,947,1.918
892.98,1295,0.771
966.01,460.02,4.117
88.041,885.04,1.511
914.03,134.04,4.062
890.03,445.02,4.043
306.99,736.02,1.606
1314,668.02,4.324
875,1280,0.786
906.99,156.04,4.059
1037,254.01,4.191
1825,742.01,2.881
905,182.05,4.059
904.97,1268,0.819
1191,913.05,1.372
328.02,658.04,1.635
247,969.03,1.54
1058,114.04,4.203
299.01,922.03,1.57
373.99,481.03,3.486
1779,1298,1.041
1003,90.042,4.148
1535.9,1105,1.195
995.01,635,4.102
233,772.03,1.569
1373.1,876.04,3.867
801.01,422,3.949
129,577,1.579
1357,733.03,4.121
990.98,242.03,4.145
1015,120,4.156
218.01,1082.1,1.519
1010,472.02,4.16
794,1193,0.887
248,790.03,1.571
830.99,392.02,3.988
1597,1214,1.054
718.01,1145,0.928
580.01,962.04,2.893
253.03,946.02,1.545
309.02,1096,1.206
954,197.02,4.102
909.02,452.03,4.055
421.01,417.04,3.557
36.011,617.01,1.544
404,472.05,3.551
